adauga_client,2026-06-04T17:27:25
deschide_cont_Curent,2026-06-04T17:27:25
deschide_cont_Economii,2026-06-04T17:27:25
cauta_cont,2026-06-04T17:27:25
emite_card,2026-06-04T17:27:25
cauta_cont,2026-06-04T17:27:25
adauga_client,2026-06-04T17:33:56
deschide_cont_Curent,2026-06-04T17:33:56
deschide_cont_Economii,2026-06-04T17:33:56
cauta_cont,2026-06-04T17:33:56
emite_card,2026-06-04T17:33:56
cauta_cont,2026-06-04T17:33:56
adauga_client,2026-06-04T18:00:29
deschide_cont_Curent,2026-06-04T18:00:29
deschide_cont_Economii,2026-06-04T18:00:29
cauta_cont,2026-06-04T18:00:29
emite_card,2026-06-04T18:00:29
cauta_cont,2026-06-04T18:00:29
vizualizare_statistici_bancare,2026-06-04T18:00:29
obtine_conturi_client,2026-06-04T18:00:29
inchide_cont,2026-06-04T18:00:29
adauga_client,2026-06-04T18:01:44
deschide_cont_Curent,2026-06-04T18:01:44
deschide_cont_Economii,2026-06-04T18:01:44
cauta_cont,2026-06-04T18:01:44
emite_card,2026-06-04T18:01:44
cauta_cont,2026-06-04T18:01:44
vizualizare_statistici_bancare,2026-06-04T18:01:44
obtine_conturi_client,2026-06-04T18:01:44
inchide_cont,2026-06-04T18:01:44
adauga_client,2026-06-04T18:03:30
deschide_cont_Curent,2026-06-04T18:03:30
deschide_cont_Economii,2026-06-04T18:03:30
cauta_cont,2026-06-04T18:03:30
emite_card,2026-06-04T18:03:30
cauta_cont,2026-06-04T18:03:30
vizualizare_statistici_bancare,2026-06-04T18:03:30
obtine_conturi_client,2026-06-04T18:03:30
inchide_cont,2026-06-04T18:03:30
adauga_client,2026-06-04T18:05:06
deschide_cont_Curent,2026-06-04T18:05:06
deschide_cont_Economii,2026-06-04T18:05:06
cauta_cont,2026-06-04T18:05:06
emite_card,2026-06-04T18:05:06
cauta_cont,2026-06-04T18:05:06
vizualizare_statistici_bancare,2026-06-04T18:05:06
obtine_conturi_client,2026-06-04T18:05:06
inchide_cont,2026-06-04T18:05:06
adauga_client,2026-06-04T18:06:37
deschide_cont_Curent,2026-06-04T18:06:37
deschide_cont_Economii,2026-06-04T18:06:37
cauta_cont,2026-06-04T18:06:37
emite_card,2026-06-04T18:06:37
cauta_cont,2026-06-04T18:06:37
vizualizare_statistici_bancare,2026-06-04T18:06:37
obtine_conturi_client,2026-06-04T18:06:37
inchide_cont,2026-06-04T18:06:37
adauga_client,2026-06-04T18:07:58
deschide_cont_Curent,2026-06-04T18:07:58
deschide_cont_Economii,2026-06-04T18:07:58
cauta_cont,2026-06-04T18:07:58
emite_card,2026-06-04T18:07:58
cauta_cont,2026-06-04T18:07:58
transferaBani_JDBC,2026-06-04T18:07:58
vizualizare_statistici_bancare,2026-06-04T18:07:58
obtine_conturi_client,2026-06-04T18:07:58
inchide_cont,2026-06-04T18:07:58
adauga_client,2026-06-04T18:55:01
deschide_cont_Curent,2026-06-04T18:55:01
deschide_cont_Economii,2026-06-04T18:55:01
cauta_cont,2026-06-04T18:55:01
emite_card,2026-06-04T18:55:01
cauta_cont,2026-06-04T18:55:01
transferaBani_JDBC,2026-06-04T18:55:01
vizualizare_statistici_bancare,2026-06-04T18:55:02
obtine_conturi_client,2026-06-04T18:55:02
inchide_cont,2026-06-04T18:55:02
